Image,Mask
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_0.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_0.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_1.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_1.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_10.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_10.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_11.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_11.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_12.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_12.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_13.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_13.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_14.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_14.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_15.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_15.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_2.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_2.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_3.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_3.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_4.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_4.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_5.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_5.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_6.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_6.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_7.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_7.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_8.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_8.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/0_9.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/0_9.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_0.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_0.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_1.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_1.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_10.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_10.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_11.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_11.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_12.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_12.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_13.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_13.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_14.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_14.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_15.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_15.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_2.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_2.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_3.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_3.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_4.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_4.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_5.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_5.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_6.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_6.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_7.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_7.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_8.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_8.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/100_9.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/100_9.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_0.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_0.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_1.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_1.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_10.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_10.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_11.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_11.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_12.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_12.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_13.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_13.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_14.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_14.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_15.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_15.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_2.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_2.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_3.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_3.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_4.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_4.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_5.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_5.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_6.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_6.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_7.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_7.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_8.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_8.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/101_9.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/101_9.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_0.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_0.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_1.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_1.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_10.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_10.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_11.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_11.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_12.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_12.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_13.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_13.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_14.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_14.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_15.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_15.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_2.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_2.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_3.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_3.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_4.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_4.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_5.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_5.npy
E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Image/102_6.npy,E:\challenge\data\2022Ultra-low dose PET\task_dose1_20\train/Mask/102_6.npy
