y_predict,y_true,y_score0,y_score1,y_score2
0,0,0.8628326,0.13601595,0.0011513565
1,0,0.091863915,0.6718662,0.23626988
0,0,0.8458164,0.15283798,0.0013456692
0,0,0.9044413,0.0949358,0.00062283664
0,0,0.74776375,0.24860589,0.0036303732
0,0,0.8879288,0.111272484,0.00079873356
1,0,0.08290941,0.6585294,0.25856116
0,0,0.8045915,0.19337824,0.002030308
0,0,0.8375665,0.1608796,0.0015539131
0,0,0.9113609,0.08819545,0.00044362966
1,0,0.34184185,0.59865665,0.05950147
0,0,0.8723352,0.1266417,0.0010231358
1,0,0.34416494,0.59069985,0.065135315
0,0,0.75371945,0.24222584,0.004054805
0,0,0.7114664,0.28264743,0.0058862437
0,0,0.9262371,0.07341481,0.0003481861
0,0,0.9209911,0.07860029,0.00040866918
0,0,0.8000976,0.19753657,0.0023658306
0,0,0.87018114,0.12873219,0.0010866071
0,0,0.73101777,0.2647137,0.0042686085
0,0,0.8128142,0.18469857,0.0024873035
0,0,0.8752863,0.123679265,0.0010344523
0,0,0.90782243,0.09161462,0.00056298857
0,0,0.6458777,0.3457513,0.008371018
1,0,0.1594969,0.7148319,0.12567121
1,0,0.21406588,0.6857631,0.1001711
0,0,0.8469075,0.1516504,0.0014420559
1,0,0.2754764,0.6357911,0.088732466
0,0,0.86592656,0.13306032,0.0010131771
0,0,0.49473307,0.4782937,0.026973166
1,0,0.3471728,0.611436,0.041391205
0,0,0.9102104,0.08926129,0.0005282676
0,0,0.6581986,0.33552,0.006281443
0,0,0.9193771,0.08022881,0.00039409677
1,0,0.23671792,0.71335584,0.049926255
0,0,0.9112863,0.08822791,0.00048582256
1,0,0.44148636,0.5328201,0.02569355
0,0,0.78960717,0.2079064,0.0024864674
0,0,0.7043626,0.29105377,0.0045836847
0,0,0.7424354,0.2542894,0.0032752396
0,0,0.53845024,0.4402914,0.021258406
1,0,0.42816943,0.5458986,0.025931919
1,0,0.32590336,0.6264003,0.047696415
0,0,0.88040537,0.11884311,0.00075154495
0,0,0.9139714,0.08558278,0.00044580188
0,0,0.89675534,0.1025463,0.0006983361
0,0,0.8184407,0.17941049,0.002148806
0,0,0.7596734,0.23588268,0.004443882
0,0,0.7806229,0.21596271,0.003414415
0,0,0.5269628,0.45785776,0.015179438
0,0,0.77775246,0.21966243,0.002585068
1,0,0.41641462,0.55511343,0.028471919
0,0,0.6292412,0.36319342,0.007565368
0,0,0.74451125,0.2513839,0.004104811
0,0,0.7735888,0.22305277,0.003358466
1,0,0.31493753,0.6138184,0.07124405
2,0,0.0034989782,0.11581207,0.88068897
0,0,0.49867445,0.48143357,0.01989202
1,0,0.1726969,0.7265763,0.10072679
0,0,0.82739234,0.17125134,0.0013563675
0,0,0.68997353,0.30331603,0.0067104
0,0,0.58771086,0.39927346,0.013015671
1,0,0.37932757,0.5875241,0.033148278
1,0,0.051935792,0.61097574,0.33708838
0,0,0.8278436,0.17024742,0.0019089928
0,0,0.77883977,0.21835887,0.002801372
0,0,0.7660937,0.23128428,0.0026220197
0,0,0.50418437,0.47846162,0.017353956
0,0,0.9559272,0.04396286,0.000110007124
0,0,0.9328887,0.06688355,0.00022776927
0,0,0.9399103,0.059906233,0.00018358059
0,0,0.6430836,0.34987307,0.0070433673
0,0,0.8429246,0.15577322,0.0013021375
0,0,0.85389376,0.14503638,0.0010698303
0,0,0.93369186,0.06607458,0.00023347248
0,0,0.9368257,0.062969364,0.00020493203
0,0,0.74607724,0.25046194,0.0034608666
0,0,0.93626577,0.06352419,0.00021005212
0,0,0.8612327,0.13780403,0.0009632281
0,0,0.9260452,0.073598675,0.00035611444
1,0,0.2853153,0.6617477,0.052936986
0,0,0.94587904,0.05396972,0.00015119543
0,0,0.5286996,0.44599518,0.025305243
0,0,0.9266178,0.0730331,0.00034904914
0,0,0.77195907,0.2243629,0.003678063
1,0,0.06521028,0.6247865,0.3100032
0,0,0.900116,0.099228404,0.00065548025
0,0,0.9071425,0.09233691,0.0005205638
0,0,0.8363495,0.16181573,0.0018347899
0,0,0.89402556,0.10521851,0.00075595547
0,0,0.87779266,0.121215984,0.0009913476
1,0,0.31577197,0.63401914,0.050208844
0,0,0.81097645,0.18692996,0.002093574
1,0,0.05278728,0.5428688,0.40434393
0,0,0.8505103,0.14817016,0.001319517
0,0,0.8285446,0.16955473,0.00190075
1,0,0.36231765,0.5868236,0.05085879
0,0,0.89807653,0.10125547,0.0006679267
0,0,0.57169193,0.40985695,0.018451167
0,0,0.8274599,0.17056845,0.001971609
0,0,0.9002246,0.099101044,0.0006743377
0,0,0.820965,0.17720307,0.0018320099
0,0,0.7585979,0.23810665,0.0032954048
1,1,0.12293926,0.69569343,0.18136734
0,1,0.873224,0.12587881,0.00089716876
0,1,0.7533899,0.24143378,0.0051762667
0,1,0.8178713,0.1804549,0.0016738832
1,1,0.41614738,0.5552328,0.028619783
0,1,0.79955417,0.19807006,0.002375832
0,1,0.7105374,0.28536963,0.004093017
1,1,0.31037307,0.6374549,0.052172028
1,1,0.20059608,0.6991062,0.10029772
1,1,0.39497024,0.56967735,0.035352476
0,1,0.8391335,0.15938708,0.0014794164
1,1,0.03871637,0.5349887,0.4262949
2,1,0.0048824903,0.23234434,0.76277316
1,1,0.39054027,0.5732872,0.036172558
1,1,0.32287768,0.62091094,0.056211412
1,1,0.34888053,0.6099365,0.04118309
1,1,0.04686556,0.52917725,0.4239572
0,1,0.5035303,0.47746283,0.019006832
2,1,0.017469348,0.37640372,0.6061269
1,1,0.39220843,0.5691469,0.03864468
2,1,0.016749797,0.24074437,0.74250585
0,1,0.6759665,0.31598482,0.0080486415
0,1,0.7494494,0.24708007,0.0034705268
1,1,0.22055887,0.68629426,0.093146876
0,1,0.6235506,0.36712807,0.009321251
1,1,0.22444572,0.69262785,0.08292647
0,1,0.9092058,0.09023054,0.0005637534
2,1,0.0016268537,0.13403328,0.8643399
2,1,0.02112429,0.427272,0.55160373
1,1,0.031871483,0.5057576,0.462371
2,1,0.011534264,0.27212095,0.7163448
1,1,0.13517779,0.6800792,0.184743
1,1,0.21130404,0.69568515,0.09301082
2,1,0.00594277,0.21255498,0.7815022
1,1,0.076746546,0.6840286,0.2392249
0,1,0.56356645,0.42350823,0.012925341
1,1,0.3620884,0.5961362,0.041775353
1,1,0.3217078,0.6269734,0.051318847
1,1,0.3454808,0.60645884,0.048060335
2,1,0.011791711,0.31910938,0.6690989
1,1,0.15220782,0.69987875,0.14791341
0,1,0.5396739,0.44511655,0.015209581
1,1,0.47523275,0.5026837,0.022083526
1,1,0.3937981,0.56961954,0.036582366
1,1,0.022225605,0.501715,0.47605932
1,1,0.25839758,0.6756245,0.06597789
1,1,0.262113,0.6801715,0.057715535
1,1,0.31598037,0.6305564,0.05346317
1,1,0.2720827,0.65993136,0.06798597
1,1,0.16271588,0.70307213,0.13421203
1,1,0.35328868,0.6070844,0.03962693
0,1,0.75015813,0.24578021,0.0040616696
1,1,0.440848,0.53430474,0.024847293
1,1,0.20574753,0.6719404,0.12231207
2,1,0.02183821,0.17380789,0.80435383
0,1,0.54575765,0.4384147,0.015827734
1,1,0.43917438,0.53535235,0.025473299
2,1,0.0033029006,0.1520797,0.84461737
2,1,0.011766698,0.37737447,0.61085886
1,1,0.021425823,0.49583396,0.4827402
1,1,0.3638572,0.59323925,0.04290359
0,1,0.50212646,0.4803143,0.017559323
1,1,0.027121779,0.5379498,0.43492845
0,1,0.88584596,0.11335992,0.000794141
0,1,0.69322824,0.30178583,0.0049859714
2,1,0.0036815936,0.24268995,0.75362843
0,1,0.8100166,0.18785469,0.0021287256
0,1,0.55219096,0.43331712,0.014491961
1,1,0.08843724,0.6982419,0.21332093
2,1,0.0024747318,0.13510966,0.8624156
0,1,0.67637205,0.31633055,0.0072974474
0,1,0.80969113,0.18809243,0.0022164653
1,1,0.14586523,0.6991239,0.15501091
2,2,0.035839066,0.4262818,0.5378792
1,2,0.16971843,0.70278287,0.12749878
1,2,0.046678144,0.62370074,0.3296211
2,2,0.0049425694,0.16778332,0.8272741
2,2,0.0006565372,0.098688744,0.90065473
2,2,0.0057059084,0.23171356,0.7625806
2,2,0.0034567656,0.22154374,0.77499944
2,2,0.008814377,0.2566269,0.73455876
2,2,0.0025110473,0.14351419,0.85397476
2,2,0.0009498946,0.13794902,0.86110103
2,2,0.0015610311,0.10413646,0.89430255
2,2,0.00023076074,0.05102768,0.94874156
1,2,0.32481036,0.6057486,0.06944104
2,2,0.00063046196,0.085064575,0.914305
2,2,0.0005711297,0.07341121,0.9260177
2,2,0.016907938,0.36535534,0.61773664
1,2,0.06274804,0.6059003,0.33135173
1,2,0.037372872,0.5680332,0.39459386
2,2,0.0005042734,0.080283284,0.91921246
2,2,0.021898389,0.4474857,0.5306159
2,2,0.03272513,0.47533494,0.49194
2,2,0.000516811,0.0759281,0.923555
2,2,0.003996688,0.17045592,0.82554746
